capitalCity,longitude,latitude,name,Year,Country,Country_url,Region Code,Region,Overall Rank,Happiness Score,GDP per capita,Family,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Happiness Status
Minsk,27.5766,53.9678,Belarus,2017.0,Belarus,,2.0,AFRICA,235.0,5.568999767,1.15655756,1.444945216,0.0,0.637714267,0.295400262,0.155137509,0.156313822,Amber
Minsk,27.5766,53.9678,Belarus,2018.0,Belarus,https://upload.wikimedia.org/wikipedia/commons/8/82/Flag_of_Honduras.svg,19.0,AMERICAS,390.0,5.483,1.039,0.0,1.498,0.7,0.307,0.101,0.154,Amber
Minsk,27.5766,53.9678,Belarus,2019.0,Belarus,,0.0,,546.0,5.323,1.067,0.0,1.465,0.789,0.235,0.094,0.142,Amber
Belmopan,-88.7713,17.2534,Belize,2016.0,Belize,,0.0,,79.0,5.956,0.87616,0.68655,0.0,0.45569,0.51231,0.23684,0.10771,Green
Belmopan,-88.7713,17.2534,Belize,2017.0,Belize,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Transnistria_%28state%29.svg,0.0,,235.0,5.955999851,0.907975316,1.081417799,0.0,0.450191766,0.547509372,0.240015641,0.096581072,Green
Belmopan,-88.7713,17.2534,Belize,2018.0,Belize,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_the_Dominican_Republic.svg,19.0,AMERICAS,390.0,5.956,0.807,0.0,1.101,0.474,0.593,0.183,0.089,Green
,,,Middle East & North Africa (IBRD-only countries),,,,,,,,,,,,,,,
Hamilton,-64.706,32.3293,Bermuda,,,,,,,,,,,,,,,
La Paz,-66.1936,-13.9908,Bolivia,2016.0,Bolivia,,0.0,,79.0,5.822,0.79422,0.83779,0.0,0.4697,0.50961,0.21698,0.07746,Green
La Paz,-66.1936,-13.9908,Bolivia,2017.0,Bolivia,,150.0,EUROPE,235.0,5.822999954,0.833756566,1.227619052,0.0,0.47363025,0.558732927,0.225560725,0.060477726,Green
La Paz,-66.1936,-13.9908,Bolivia,2018.0,Bolivia,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_The_Gambia.svg,0.0,,390.0,5.752,0.751,0.0,1.223,0.508,0.606,0.141,0.054,Green
La Paz,-66.1936,-13.9908,Bolivia,2019.0,Bolivia,,0.0,,546.0,5.779,0.776,0.0,1.209,0.706,0.511,0.137,0.064,Green
Brasilia,-47.9292,-15.7801,Brazil,2016.0,Brazil,,0.0,,79.0,6.952,1.08754,1.03938,0.0,0.61415,0.40425,0.15776,0.14166,Green
Brasilia,-47.9292,-15.7801,Brazil,2017.0,Brazil,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Tunisia.svg,2.0,AFRICA,235.0,6.635000229,1.10735321,1.431306005,0.0,0.616552353,0.437453747,0.162349895,0.111092761,Green
Brasilia,-47.9292,-15.7801,Brazil,2018.0,Brazil,https://upload.wikimedia.org/wikipedia/commons/5/50/Flag_of_Burundi.svg,2.0,AFRICA,390.0,6.419,0.986,0.0,1.474,0.675,0.493,0.11,0.088,Green
Brasilia,-47.9292,-15.7801,Brazil,2019.0,Brazil,,0.0,,546.0,6.3,1.004,0.0,1.439,0.802,0.39,0.099,0.086,Green
Bridgetown,-59.6105,13.0935,Barbados,,,,,,,,,,,,,,,
Bandar Seri Begawan,114.946,4.94199,Brunei Darussalam,,,,,,,,,,,,,,,
,,,Sub-Saharan Africa (IBRD-only countries),,,,,,,,,,,,,,,
Thimphu,89.6177,27.5768,Bhutan,2016.0,Bhutan,,0.0,,79.0,5.196,0.8527,0.90836,0.0,0.49759,0.46074,0.48546,0.1616,Amber
Thimphu,89.6177,27.5768,Bhutan,2017.0,Bhutan,,142.0,ASIA,235.0,5.011000156,0.885416389,1.340126514,0.0,0.495879292,0.501537681,0.474054545,0.17338039,Amber
Thimphu,89.6177,27.5768,Bhutan,2018.0,Bhutan,https://upload.wikimedia.org/wikipedia/commons/4/4a/Flag_of_Lesotho.svg,2.0,AFRICA,390.0,5.082,0.796,0.0,1.335,0.527,0.541,0.364,0.171,Amber
Thimphu,89.6177,27.5768,Bhutan,2019.0,Bhutan,,0.0,,546.0,5.082,0.813,0.0,1.321,0.604,0.457,0.37,0.167,Amber
Gaborone,25.9201,-24.6544,Botswana,2016.0,Botswana,,0.0,,79.0,3.974,1.09426,0.89186,0.0,0.34752,0.44089,0.12425,0.10769,Amber
Gaborone,25.9201,-24.6544,Botswana,2017.0,Botswana,,0.0,,235.0,3.766000032,1.122094154,1.221554995,0.0,0.341755509,0.505196333,0.099348448,0.098583199,Amber
